left_entity,left_class,relation,right_entity,right_class,context
Harry,Q5,P533,Dumbledore gave Harry advice and background information on the Dark Lord,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Voldemort,Q5,P1449,Dark Lord,Q82799,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Harry,Q5,P1344,Harry confronted Voldemort,Q180684,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Voldemort,Q5,P533,Harry confronted Voldemort,Q180684,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Harry,Q5,P1344,defeated him once and for all,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Voldemort,Q5,P533,defeated him once and for all,Q1190554,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
defeated him once and for all,Q1190554,P828,Harry confronted Voldemort,Q180684,"Harry played a significant role in many other battles of the Second Wizarding War. During what would have been his seventh year, he, Ron, and Hermione hunted down and destroyed Voldemort's Horcruxes. During the Battle of Hogwarts, Harry personally saw the deaths of Severus Snape and Fred Weasley while learning that Remus Lupin, Nymphadora Tonks, Colin Creevey, and many others had fallen in the battle as well. He encountered Voldemort and nearly sacrificed himself, knowing that his doing so was the only way to destroy the fragment of Voldemort's soul inside of him. While in limbo, after Voldemort cursed him in the forest clearing, Dumbledore gave Harry advice and background information on the Dark Lord. When told that he could choose to live or to ""move on,"" Harry ultimately chose to live. After he awoke, Harry confronted Voldemort and defeated him once and for all."
Hermione,Q5,P2546,Harry Potter,Q5,"Hermione first met her future best friends Harry Potter and Ron Weasley aboard the Hogwarts Express, and initially they found her unfriendly and somewhat of an ""insufferable know-it-all"", an impression reinforced by her constant correct answers and eagerness to please the professors. However, she stepped in to take the blame from the boys after they had saved her from a troll on Hallowe'en in 1991, surprising them in a grateful way, which led to them quickly becoming friends. She later played a crucial role in protecting the Philosopher's Stone from Voldemort."
Hermione,Q5,P2546,Ron Weasley,Q5,"Hermione first met her future best friends Harry Potter and Ron Weasley aboard the Hogwarts Express, and initially they found her unfriendly and somewhat of an ""insufferable know-it-all"", an impression reinforced by her constant correct answers and eagerness to please the professors. However, she stepped in to take the blame from the boys after they had saved her from a troll on Hallowe'en in 1991, surprising them in a grateful way, which led to them quickly becoming friends. She later played a crucial role in protecting the Philosopher's Stone from Voldemort."
Hermione,Q5,P1344,first met her future best friends,Q1190554,"Hermione first met her future best friends Harry Potter and Ron Weasley aboard the Hogwarts Express, and initially they found her unfriendly and somewhat of an ""insufferable know-it-all"", an impression reinforced by her constant correct answers and eagerness to please the professors. However, she stepped in to take the blame from the boys after they had saved her from a troll on Hallowe'en in 1991, surprising them in a grateful way, which led to them quickly becoming friends. She later played a crucial role in protecting the Philosopher's Stone from Voldemort."
